R-HSA-114585,PR:000046655
R-HSA-197766,PR:000046656
R-HSA-444764,PR:000046657
R-HSA-6783069,PR:000046658
R-HSA-143488,PR:000046659
R-HSA-6782810,PR:000046660
R-HSA-6802968,PR:000046661
R-HSA-5692662,PR:000046662
R-HSA-5692659,PR:000046663
R-HSA-5692655,PR:000046664
R-HSA-5661317,PR:000046665
R-HSA-3322360,PR:000046666
R-HSA-2468266,PR:000046667
R-HSA-4655328,PR:000046668
R-HSA-5215987,PR:000046669
R-HSA-187905,PR:000046674
R-HSA-113830,PR:000046675
R-HSA-399809,PR:000046676
